t test_mse train_mse W_norm a_norm y_norm_sq score_W_resc score_a_resc log_P time
78 6.5649e-02 5.8120e-02 2.3440e-01 8.5605e+00 3.0180e-01 -1.1356e-03 1.5907e-03 -2.5468e+00 2.2529e+00
79 6.5566e-02 5.7970e-02 2.3433e-01 8.6075e+00 2.9806e-01 2.4197e-02 -1.5932e-02 -2.5457e+00 2.2591e+00
80 6.5541e-02 5.7805e-02 2.3447e-01 8.6572e+00 2.9558e-01 -1.6693e-02 1.3215e-02 -2.5170e+00 2.2652e+00
81 6.4945e-02 5.7513e-02 2.3509e-01 8.6939e+00 3.0053e-01 2.5876e-02 4.8041e-03 -2.5332e+00 2.2714e+00
82 6.4774e-02 5.7163e-02 2.3544e-01 8.7340e+00 3.0154e-01 -3.0778e-02 1.0541e-02 -2.5207e+00 2.2783e+00
83 6.4565e-02 5.6971e-02 2.3608e-01 8.7767e+00 3.0106e-01 -4.4363e-02 2.6104e-03 -2.5222e+00 2.2838e+00
84 6.4760e-02 5.6816e-02 2.3639e-01 8.8088e+00 3.0263e-01 -3.3530e-02 -2.2320e-02 -2.5121e+00 2.2893e+00
85 6.4820e-02 5.6599e-02 2.3640e-01 8.8449e+00 3.0096e-01 -8.4309e-03 -8.7398e-03 -2.4994e+00 2.2949e+00
86 6.4560e-02 5.6611e-02 2.3637e-01 8.8747e+00 2.9975e-01 3.9282e-03 -1.1443e-03 -2.5176e+00 2.3018e+00
87 6.4317e-02 5.6363e-02 2.3633e-01 8.9174e+00 2.9929e-01 -1.6564e-03 1.4442e-02 -2.5062e+00 2.3079e+00
88 6.3961e-02 5.6059e-02 2.3610e-01 8.9596e+00 3.0060e-01 -3.3460e-02 1.7565e-02 -2.4768e+00 2.3141e+00
89 6.3553e-02 5.6043e-02 2.3635e-01 9.0014e+00 2.9728e-01 1.1266e-02 -1.7147e-02 -2.4604e+00 2.3205e+00
90 6.3671e-02 5.5819e-02 2.3664e-01 9.0238e+00 3.0166e-01 2.0192e-02 -7.8651e-03 -2.4685e+00 2.3260e+00
91 6.3481e-02 5.5596e-02 2.3697e-01 9.0518e+00 3.0329e-01 3.2011e-03 9.2280e-03 -2.4774e+00 2.3322e+00
92 6.3088e-02 5.5536e-02 2.3726e-01 9.0804e+00 3.0275e-01 5.1967e-03 -2.4605e-02 -2.4523e+00 2.3384e+00
93 6.2554e-02 5.5392e-02 2.3751e-01 9.1073e+00 3.0206e-01 -1.6177e-02 2.2751e-02 -2.4482e+00 2.3465e+00
94 6.2762e-02 5.5458e-02 2.3731e-01 9.1442e+00 2.9921e-01 2.1396e-02 1.5124e-02 -2.4773e+00 2.3527e+00
95 6.2462e-02 5.5019e-02 2.3706e-01 9.1807e+00 2.9855e-01 1.7740e-02 1.2236e-02 -2.4432e+00 2.3595e+00
96 6.2092e-02 5.5093e-02 2.3713e-01 9.2174e+00 3.0376e-01 -1.4457e-02 -1.1274e-03 -2.4670e+00 2.3659e+00
97 6.1828e-02 5.4857e-02 2.3694e-01 9.2481e+00 3.0018e-01 1.5171e-02 -1.5310e-02 -2.4409e+00 2.3728e+00
98 6.2257e-02 5.4782e-02 2.3704e-01 9.2971e+00 3.0029e-01 -1.2864e-02 3.5050e-02 -2.4256e+00 2.3789e+00
99 6.2643e-02 5.4530e-02 2.3768e-01 9.3511e+00 3.0077e-01 1.2529e-03 -9.6852e-02 -2.4236e+00 2.3851e+00
100 6.3056e-02 5.4417e-02 2.3788e-01 9.3754e+00 3.0122e-01 -2.1294e-02 -8.7701e-03 -2.4312e+00 2.3906e+00
101 6.2634e-02 5.4144e-02 2.3839e-01 9.3946e+00 3.0328e-01 5.2496e-04 -2.6960e-02 -2.4383e+00 2.3967e+00
102 6.2365e-02 5.3839e-02 2.3808e-01 9.4206e+00 3.0698e-01 -7.2812e-03 -1.6593e-02 -2.4326e+00 2.4035e+00
103 6.1889e-02 5.3742e-02 2.3828e-01 9.4616e+00 3.0405e-01 2.5054e-02 -9.6893e-03 -2.4227e+00 2.4099e+00
104 6.2073e-02 5.3823e-02 2.3851e-01 9.5025e+00 3.0417e-01 1.0096e-02 -6.8380e-02 -2.4489e+00 2.4168e+00
105 6.1729e-02 5.3530e-02 2.3847e-01 9.5079e+00 3.0840e-01 8.5823e-03 1.5163e-02 -2.4178e+00 2.4223e+00
106 6.1430e-02 5.3359e-02 2.3804e-01 9.5138e+00 3.0849e-01 -4.2514e-02 -2.2730e-02 -2.4171e+00 2.4279e+00
107 6.1590e-02 5.3268e-02 2.3872e-01 9.5387e+00 3.0478e-01 6.0611e-03 -1.5039e-02 -2.4183e+00 2.4340e+00
108 6.1058e-02 5.3024e-02 2.3857e-01 9.5861e+00 3.0072e-01 -5.8824e-03 4.5748e-02 -2.4300e+00 2.4402e+00
109 6.0832e-02 5.2816e-02 2.3869e-01 9.6119e+00 3.0159e-01 7.7686e-03 -1.6077e-02 -2.4049e+00 2.4474e+00
110 6.0736e-02 5.2708e-02 2.3901e-01 9.6206e+00 3.0324e-01 -1.6728e-03 -4.0506e-02 -2.4058e+00 2.4544e+00
111 6.0384e-02 5.2618e-02 2.3907e-01 9.6253e+00 3.0470e-01 -1.5719e-02 -6.1972e-03 -2.4081e+00 2.4612e+00
112 5.9849e-02 5.2230e-02 2.3923e-01 9.6440e+00 3.0627e-01 -2.5826e-02 1.2552e-02 -2.3902e+00 2.4673e+00
113 6.0168e-02 5.2072e-02 2.3937e-01 9.6741e+00 3.0239e-01 2.4119e-02 -4.9120e-04 -2.3957e+00 2.4735e+00
114 6.0299e-02 5.1962e-02 2.3896e-01 9.6864e+00 3.0132e-01 -3.3579e-02 2.0454e-03 -2.4370e+00 2.4797e+00
115 6.0514e-02 5.2018e-02 2.3925e-01 9.7059e+00 3.0352e-01 4.3509e-03 1.3549e-02 -2.4028e+00 2.4865e+00
116 6.0545e-02 5.1552e-02 2.3922e-01 9.7493e+00 3.0502e-01 -3.1724e-02 -5.1006e-03 -2.4168e+00 2.4933e+00
117 6.0074e-02 5.1602e-02 2.3986e-01 9.7767e+00 3.0583e-01 1.3057e-02 5.7267e-03 -2.4033e+00 2.4996e+00
118 6.0339e-02 5.1449e-02 2.3961e-01 9.7927e+00 3.0917e-01 2.5258e-02 -7.9111e-03 -2.3849e+00 2.5064e+00
119 5.9999e-02 5.1232e-02 2.3934e-01 9.8263e+00 3.0712e-01 2.1031e-03 2.0177e-02 -2.3874e+00 2.5119e+00
120 6.0340e-02 5.1242e-02 2.3993e-01 9.8548e+00 3.0719e-01 2.4809e-02 3.0857e-02 -2.3876e+00 2.5177e+00
121 5.9802e-02 5.0958e-02 2.4032e-01 9.8782e+00 3.0615e-01 1.9848e-02 1.8588e-02 -2.3808e+00 2.5239e+00
122 5.9501e-02 5.0841e-02 2.4035e-01 9.9074e+00 3.0717e-01 -1.8637e-02 5.2104e-03 -2.3908e+00 2.5294e+00
123 6.0034e-02 5.0826e-02 2.4006e-01 9.9400e+00 3.0696e-01 -2.1997e-03 -2.3515e-03 -2.4024e+00 2.5362e+00
124 5.9489e-02 5.0712e-02 2.3999e-01 9.9527e+00 3.0537e-01 -1.2262e-02 3.7131e-02 -2.4079e+00 2.5418e+00
125 5.9402e-02 5.0341e-02 2.4065e-01 9.9727e+00 3.0567e-01 6.3343e-03 -5.9905e-03 -2.3862e+00 2.5480e+00
126 5.8703e-02 5.0181e-02 2.4061e-01 1.0007e+01 3.0468e-01 4.8656e-02 -5.7674e-04 -2.3711e+00 2.5559e+00
127 5.8589e-02 5.0000e-02 2.4123e-01 1.0028e+01 3.0864e-01 5.4465e-03 2.8870e-02 -2.3701e+00 2.5614e+00
128 5.8600e-02 5.0071e-02 2.4148e-01 1.0048e+01 3.0819e-01 1.3993e-02 6.9418e-03 -2.3602e+00 2.5682e+00
129 5.8461e-02 4.9835e-02 2.4152e-01 1.0049e+01 3.1038e-01 5.3194e-03 -1.0808e-02 -2.3604e+00 2.6294e+00
130 5.8622e-02 4.9806e-02 2.4189e-01 1.0090e+01 3.0880e-01 1.6733e-02 -1.0929e-02 -2.3600e+00 2.6356e+00
131 5.8419e-02 4.9689e-02 2.4186e-01 1.0106e+01 3.0666e-01 5.1311e-02 2.6197e-02 -2.3592e+00 2.6418e+00
132 5.8575e-02 4.9644e-02 2.4220e-01 1.0137e+01 3.0855e-01 -6.6119e-03 -1.2125e-02 -2.3537e+00 2.6473e+00
133 5.8108e-02 4.9510e-02 2.4230e-01 1.0151e+01 3.0420e-01 -4.0825e-02 8.8151e-03 -2.3646e+00 2.6541e+00
134 5.8165e-02 4.9199e-02 2.4295e-01 1.0161e+01 3.0704e-01 1.2559e-04 1.5205e-02 -2.3190e+00 2.6597e+00
135 5.8105e-02 4.8966e-02 2.4288e-01 1.0201e+01 3.1171e-01 -5.9136e-03 -3.2369e-02 -2.3522e+00 2.6659e+00
136 5.7846e-02 4.8802e-02 2.4318e-01 1.0213e+01 3.1064e-01 -7.6418e-03 2.7716e-03 -2.3625e+00 2.6734e+00
137 5.7412e-02 4.8724e-02 2.4321e-01 1.0230e+01 3.1661e-01 -7.7338e-03 1.7539e-02 -2.3445e+00 2.6795e+00
138 5.7148e-02 4.8586e-02 2.4305e-01 1.0276e+01 3.1467e-01 1.0440e-02 -1.3695e-02 -2.3401e+00 2.6857e+00
139 5.7494e-02 4.8745e-02 2.4319e-01 1.0306e+01 3.1616e-01 8.2580e-03 1.6605e-02 -2.3490e+00 2.6919e+00
140 5.7281e-02 4.8607e-02 2.4346e-01 1.0323e+01 3.1376e-01 -1.1425e-02 -1.6782e-02 -2.3438e+00 2.6981e+00
141 5.6423e-02 4.8175e-02 2.4345e-01 1.0340e+01 3.0714e-01 3.5434e-02 1.5985e-03 -2.3262e+00 2.7036e+00
142 5.5776e-02 4.7958e-02 2.4331e-01 1.0366e+01 3.0660e-01 1.3184e-03 -1.5217e-02 -2.3360e+00 2.7091e+00
143 5.5952e-02 4.8073e-02 2.4378e-01 1.0391e+01 3.0248e-01 -2.5890e-02 -2.4132e-02 -2.3273e+00 2.7152e+00
144 5.5848e-02 4.7656e-02 2.4389e-01 1.0394e+01 3.0129e-01 4.7391e-03 4.3808e-03 -2.3309e+00 2.7223e+00
145 5.5894e-02 4.7462e-02 2.4391e-01 1.0393e+01 3.0786e-01 7.8826e-03 -1.6042e-02 -2.3157e+00 2.7279e+00
146 5.5810e-02 4.7281e-02 2.4383e-01 1.0435e+01 3.0629e-01 2.0680e-02 -3.1339e-02 -2.3494e+00 2.7340e+00
147 5.5499e-02 4.7259e-02 2.4415e-01 1.0471e+01 3.0839e-01 -1.4030e-03 5.5767e-03 -2.3624e+00 2.7403e+00
148 5.4887e-02 4.7170e-02 2.4406e-01 1.0486e+01 3.0991e-01 2.1556e-02 1.4486e-02 -2.3481e+00 2.7464e+00
149 5.5641e-02 4.7327e-02 2.4394e-01 1.0490e+01 3.0862e-01 3.0971e-02 3.2246e-02 -2.3419e+00 2.7520e+00
150 5.4765e-02 4.7156e-02 2.4385e-01 1.0493e+01 3.1121e-01 -1.6470e-02 -5.2303e-04 -2.3381e+00 2.7581e+00
151 5.5407e-02 4.7128e-02 2.4430e-01 1.0517e+01 3.1467e-01 -7.0752e-03 -1.0068e-02 -2.3264e+00 2.7643e+00
152 5.5305e-02 4.6766e-02 2.4383e-01 1.0530e+01 3.0628e-01 4.8328e-02 -8.5622e-03 -2.3711e+00 2.7698e+00
153 5.5194e-02 4.6511e-02 2.4395e-01 1.0549e+01 3.1094e-01 -1.0498e-02 -1.5014e-02 -2.3463e+00 2.7753e+00
154 5.5127e-02 4.6609e-02 2.4402e-01 1.0583e+01 3.0757e-01 2.9117e-02 -4.1567e-02 -2.3423e+00 2.7815e+00
155 5.4394e-02 4.6438e-02 2.4442e-01 1.0610e+01 3.0671e-01 8.5132e-03 1.3875e-02 -2.3424e+00 2.7877e+00
156 5.4048e-02 4.6227e-02 2.4438e-01 1.0622e+01 3.1109e-01 3.9372e-02 -1.9271e-02 -2.3089e+00 2.7951e+00
157 5.3542e-02 4.6058e-02 2.4441e-01 1.0630e+01 3.1059e-01 -1.4419e-02 2.5722e-02 -2.3095e+00 2.8013e+00
158 5.3515e-02 4.5877e-02 2.4495e-01 1.0647e+01 3.1056e-01 3.7987e-02 1.7872e-02 -2.3270e+00 2.8068e+00
159 5.4083e-02 4.5826e-02 2.4506e-01 1.0663e+01 3.1059e-01 -1.6149e-03 -4.2412e-02 -2.3193e+00 2.8129e+00
160 5.4246e-02 4.5761e-02 2.4560e-01 1.0664e+01 3.1261e-01 -3.0946e-03 1.5470e-02 -2.3323e+00 2.8203e+00
161 5.3963e-02 4.5499e-02 2.4500e-01 1.0694e+01 3.1113e-01 3.3230e-02 -3.5872e-02 -2.3046e+00 2.8259e+00
162 5.3657e-02 4.5441e-02 2.4525e-01 1.0722e+01 3.1102e-01 -1.0517e-02 -2.4305e-02 -2.3051e+00 2.8326e+00
163 5.3277e-02 4.5152e-02 2.4522e-01 1.0731e+01 3.0929e-01 2.9013e-02 -9.2322e-03 -2.3136e+00 2.8401e+00
164 5.3175e-02 4.4863e-02 2.4504e-01 1.0755e+01 3.0850e-01 1.3897e-02 6.7709e-03 -2.2974e+00 2.8456e+00
165 5.2628e-02 4.4815e-02 2.4542e-01 1.0757e+01 3.0699e-01 1.1557e-02 -1.1255e-02 -2.3021e+00 2.8524e+00
166 5.2393e-02 4.4967e-02 2.4502e-01 1.0778e+01 3.0809e-01 -2.1217e-03 1.0243e-02 -2.3319e+00 2.8586e+00
167 5.2392e-02 4.4739e-02 2.4573e-01 1.0777e+01 3.0738e-01 -1.5006e-03 4.4271e-05 -2.3366e+00 2.8641e+00
168 5.1438e-02 4.4614e-02 2.4572e-01 1.0770e+01 3.1106e-01 3.5001e-02 6.6432e-03 -2.2895e+00 2.8697e+00
169 5.2330e-02 4.4379e-02 2.4672e-01 1.0788e+01 3.1228e-01 1.2024e-02 -3.8809e-03 -2.2857e+00 2.8752e+00
170 5.2307e-02 4.4532e-02 2.4642e-01 1.0795e+01 3.1276e-01 -5.7304e-03 4.0408e-03 -2.3163e+00 2.8823e+00
171 5.2198e-02 4.4324e-02 2.4678e-01 1.0799e+01 3.1556e-01 1.1745e-02 3.3143e-03 -2.3168e+00 2.8891e+00
172 5.2205e-02 4.4219e-02 2.4674e-01 1.0820e+01 3.1196e-01 -1.7827e-03 -1.2382e-02 -2.2881e+00 2.8966e+00
173 5.1834e-02 4.4150e-02 2.4633e-01 1.0845e+01 3.1006e-01 1.9198e-02 2.6907e-02 -2.3092e+00 2.9028e+00
174 5.1410e-02 4.3879e-02 2.4694e-01 1.0869e+01 3.1461e-01 -6.2939e-03 1.0769e-02 -2.3001e+00 2.9083e+00
175 5.1488e-02 4.3690e-02 2.4676e-01 1.0885e+01 3.1384e-01 4.9223e-02 -3.5279e-02 -2.2857e+00 2.9145e+00
176 5.1192e-02 4.3714e-02 2.4660e-01 1.0885e+01 3.1831e-01 -2.0263e-02 -1.6399e-02 -2.3144e+00 2.9200e+00
177 5.1033e-02 4.3534e-02 2.4642e-01 1.0873e+01 3.1423e-01 -2.5540e-03 3.6826e-03 -2.3119e+00 2.9255e+00
178 5.1086e-02 4.3463e-02 2.4639e-01 1.0905e+01 3.1560e-01 -9.7993e-03 6.3011e-03 -2.3162e+00 2.9323e+00
179 5.1195e-02 4.3243e-02 2.4684e-01 1.0920e+01 3.1758e-01 -4.3515e-04 -1.8029e-02 -2.3104e+00 2.9378e+00
180 5.1201e-02 4.3099e-02 2.4738e-01 1.0947e+01 3.1318e-01 -2.2754e-02 -3.2546e-02 -2.3158e+00 2.9446e+00
181 5.1005e-02 4.2935e-02 2.4751e-01 1.0966e+01 3.1003e-01 -1.8999e-02 -3.8716e-03 -2.2870e+00 2.9514e+00
182 5.1272e-02 4.3237e-02 2.4761e-01 1.0966e+01 3.1031e-01 -7.2858e-03 -2.4321e-02 -2.2961e+00 2.9570e+00
