t test_mse train_mse W_norm a_norm y_norm_sq score_W_resc score_a_resc log_P time
53 4.0156e-02 3.8834e-02 2.0761e-01 5.0925e+00 3.8199e-01 -4.3691e-02 7.5464e-02 -1.0647e+01 3.6717e-01
54 3.9874e-02 3.8811e-02 2.0846e-01 5.1113e+00 3.8195e-01 -7.8133e-02 4.4521e-02 -1.0681e+01 3.7240e-01
55 4.0075e-02 3.8797e-02 2.0862e-01 5.1327e+00 3.8519e-01 2.6725e-02 7.2106e-02 -1.0612e+01 3.7778e-01
56 4.0084e-02 3.8828e-02 2.0930e-01 5.1718e+00 3.8665e-01 2.2458e-02 3.0393e-02 -1.0576e+01 3.8381e-01
57 4.0170e-02 3.8640e-02 2.0893e-01 5.1907e+00 3.8742e-01 -4.7029e-02 3.6410e-02 -1.0619e+01 3.8905e-01
58 3.9989e-02 3.8428e-02 2.1028e-01 5.2408e+00 3.9076e-01 -5.2922e-02 -1.4252e-02 -1.0581e+01 3.9416e-01
59 3.9903e-02 3.8435e-02 2.1005e-01 5.2810e+00 3.8915e-01 2.8858e-02 1.7569e-02 -1.0663e+01 3.9999e-01
60 3.9891e-02 3.8033e-02 2.1111e-01 5.2853e+00 3.8406e-01 3.1437e-02 -4.0466e-02 -1.0588e+01 4.0606e-01
61 3.9567e-02 3.7805e-02 2.1221e-01 5.3328e+00 3.8621e-01 4.9015e-02 5.7647e-02 -1.0670e+01 4.1183e-01
62 3.9298e-02 3.7546e-02 2.1142e-01 5.3551e+00 3.8596e-01 -7.7323e-02 2.8379e-02 -1.0482e+01 4.1765e-01
63 3.9474e-02 3.7507e-02 2.1270e-01 5.3700e+00 3.8584e-01 5.8181e-03 4.1662e-02 -1.0491e+01 4.2324e-01
64 3.9272e-02 3.7312e-02 2.1372e-01 5.3888e+00 3.8535e-01 -1.2771e-01 -1.5986e-02 -1.0342e+01 4.2886e-01
65 3.9171e-02 3.7192e-02 2.1411e-01 5.4055e+00 3.8236e-01 -2.8621e-02 5.9757e-03 -1.0515e+01 4.3499e-01
66 3.8781e-02 3.7068e-02 2.1402e-01 5.4165e+00 3.8025e-01 -5.0292e-02 -2.0576e-02 -1.0513e+01 4.4081e-01
67 3.8877e-02 3.7063e-02 2.1549e-01 5.4505e+00 3.8369e-01 4.7150e-02 -4.9446e-02 -1.0485e+01 4.4670e-01
68 3.8650e-02 3.6915e-02 2.1657e-01 5.4651e+00 3.8359e-01 -2.1510e-02 2.4949e-02 -1.0524e+01 4.5257e-01
69 3.8574e-02 3.6816e-02 2.1800e-01 5.4749e+00 3.8268e-01 4.4026e-02 1.6471e-02 -1.0424e+01 4.5806e-01
70 3.8345e-02 3.6540e-02 2.1910e-01 5.4894e+00 3.8379e-01 7.1605e-02 2.6596e-02 -1.0345e+01 4.6403e-01
71 3.8393e-02 3.6376e-02 2.2003e-01 5.5012e+00 3.8253e-01 -3.8019e-02 1.8747e-02 -1.0496e+01 4.6980e-01
72 3.8153e-02 3.6309e-02 2.1938e-01 5.5153e+00 3.8281e-01 -4.6857e-02 4.3844e-02 -1.0435e+01 4.7504e-01
73 3.7880e-02 3.5827e-02 2.2024e-01 5.5151e+00 3.8558e-01 3.1871e-02 2.2517e-02 -1.0443e+01 4.8047e-01
74 3.8438e-02 3.5867e-02 2.2082e-01 5.5315e+00 3.8793e-01 6.0607e-02 -3.5089e-02 -1.0429e+01 4.8640e-01
75 3.8174e-02 3.5952e-02 2.2130e-01 5.5495e+00 3.8914e-01 -3.5282e-02 -1.0429e-03 -1.0415e+01 4.9217e-01
76 3.8103e-02 3.5630e-02 2.2129e-01 5.5710e+00 3.8212e-01 1.5820e-02 2.1775e-03 -1.0342e+01 4.9821e-01
77 3.8037e-02 3.5591e-02 2.2128e-01 5.5980e+00 3.8270e-01 8.3083e-03 2.7514e-02 -1.0333e+01 5.0385e-01
78 3.8199e-02 3.5497e-02 2.2209e-01 5.6013e+00 3.7994e-01 -3.2943e-02 -1.6935e-02 -1.0427e+01 5.1032e-01
79 3.8124e-02 3.5171e-02 2.2168e-01 5.5986e+00 3.7967e-01 -2.2802e-02 4.2527e-03 -1.0474e+01 5.1628e-01
80 3.7483e-02 3.4841e-02 2.2285e-01 5.6420e+00 3.8106e-01 -9.7077e-02 3.0775e-02 -1.0360e+01 5.2225e-01
81 3.7741e-02 3.4763e-02 2.2373e-01 5.6552e+00 3.8133e-01 2.0396e-02 7.6926e-02 -1.0275e+01 5.2824e-01
82 3.7444e-02 3.4522e-02 2.2401e-01 5.6680e+00 3.8160e-01 6.2346e-02 2.7008e-02 -1.0393e+01 5.3375e-01
83 3.7729e-02 3.4517e-02 2.2527e-01 5.6960e+00 3.8175e-01 1.3316e-02 -3.3528e-02 -1.0358e+01 5.3928e-01
84 3.7563e-02 3.4476e-02 2.2582e-01 5.7197e+00 3.8722e-01 -3.4400e-02 2.2542e-02 -1.0307e+01 5.4517e-01
85 3.7438e-02 3.4511e-02 2.2758e-01 5.7221e+00 3.8915e-01 2.3867e-02 -1.3579e-02 -1.0468e+01 5.5057e-01
86 3.7639e-02 3.4323e-02 2.2805e-01 5.7441e+00 3.8662e-01 -4.1940e-02 -8.8533e-02 -1.0316e+01 5.5669e-01
87 3.7821e-02 3.4331e-02 2.2837e-01 5.7681e+00 3.8651e-01 -1.9652e-02 -3.8786e-02 -1.0378e+01 5.6247e-01
88 3.7957e-02 3.4155e-02 2.2901e-01 5.7615e+00 3.8781e-01 -2.2325e-02 1.3242e-02 -1.0338e+01 5.6859e-01
89 3.8098e-02 3.4257e-02 2.2950e-01 5.7523e+00 3.8881e-01 -8.2692e-02 -1.0128e-02 -1.0258e+01 5.7444e-01
90 3.7909e-02 3.4047e-02 2.2981e-01 5.7644e+00 3.8712e-01 2.7917e-02 3.0030e-03 -1.0284e+01 5.7957e-01
91 3.7710e-02 3.4078e-02 2.3041e-01 5.7678e+00 3.8532e-01 7.3394e-02 3.5561e-02 -1.0387e+01 5.8543e-01
92 3.7485e-02 3.4073e-02 2.3117e-01 5.7824e+00 3.8553e-01 -4.1616e-02 -2.1849e-02 -1.0289e+01 5.9099e-01
93 3.7590e-02 3.4103e-02 2.3171e-01 5.7793e+00 3.9127e-01 2.5841e-02 -1.8055e-02 -1.0270e+01 5.9712e-01
94 3.7110e-02 3.3720e-02 2.3311e-01 5.8028e+00 3.9175e-01 -7.6889e-02 -4.2667e-02 -1.0254e+01 6.0423e-01
95 3.6834e-02 3.3623e-02 2.3434e-01 5.8132e+00 3.9049e-01 1.4131e-02 9.3699e-03 -1.0360e+01 6.1013e-01
96 3.6848e-02 3.3427e-02 2.3391e-01 5.8119e+00 3.9017e-01 1.4878e-03 -1.4802e-02 -1.0367e+01 6.1603e-01
97 3.7499e-02 3.3581e-02 2.3555e-01 5.8146e+00 3.9571e-01 1.6481e-02 -8.9402e-02 -1.0163e+01 6.2188e-01
98 3.7144e-02 3.3360e-02 2.3462e-01 5.8053e+00 3.8780e-01 1.7964e-02 -1.4050e-02 -1.0312e+01 6.2717e-01
99 3.6536e-02 3.3099e-02 2.3482e-01 5.8256e+00 3.8449e-01 2.9523e-02 1.4624e-02 -1.0329e+01 6.3249e-01
100 3.6994e-02 3.3240e-02 2.3509e-01 5.8187e+00 3.8741e-01 2.0630e-02 -5.3365e-02 -1.0227e+01 6.3862e-01
101 3.6262e-02 3.3113e-02 2.3612e-01 5.8377e+00 3.9072e-01 2.1660e-02 5.1436e-02 -1.0193e+01 6.4474e-01
102 3.5937e-02 3.2678e-02 2.3689e-01 5.8738e+00 3.8697e-01 5.8495e-02 -5.7039e-02 -1.0357e+01 6.5052e-01
103 3.6409e-02 3.2713e-02 2.3774e-01 5.8961e+00 3.8773e-01 3.3868e-02 6.9822e-02 -1.0269e+01 6.5582e-01
104 3.6347e-02 3.2884e-02 2.3848e-01 5.8932e+00 3.8703e-01 -2.2073e-03 -1.6174e-02 -1.0258e+01 6.6281e-01
105 3.5755e-02 3.2855e-02 2.3845e-01 5.8966e+00 3.8848e-01 2.2998e-02 -3.3965e-02 -1.0216e+01 6.6842e-01
106 3.6310e-02 3.2960e-02 2.4032e-01 5.9169e+00 3.9023e-01 -4.6504e-02 -5.9185e-02 -1.0149e+01 6.7397e-01
107 3.5973e-02 3.2547e-02 2.4034e-01 5.8949e+00 3.8664e-01 -2.6925e-02 5.8471e-02 -1.0223e+01 6.7917e-01
108 3.5541e-02 3.2204e-02 2.4170e-01 5.9288e+00 3.8673e-01 -2.3837e-02 -2.6958e-02 -1.0358e+01 6.8472e-01
109 3.5643e-02 3.2046e-02 2.4154e-01 5.9356e+00 3.8809e-01 4.1972e-03 -3.6531e-02 -1.0193e+01 6.9032e-01
110 3.5833e-02 3.1883e-02 2.4316e-01 5.9364e+00 3.9163e-01 -6.9109e-03 6.3087e-02 -1.0268e+01 6.9621e-01
111 3.5767e-02 3.1900e-02 2.4237e-01 5.9429e+00 3.8737e-01 1.3644e-02 -5.6090e-02 -1.0217e+01 7.0184e-01
112 3.5839e-02 3.1849e-02 2.4273e-01 5.9254e+00 3.9034e-01 -1.7545e-02 -6.0227e-02 -1.0166e+01 7.0753e-01
113 3.6262e-02 3.1873e-02 2.4422e-01 5.9315e+00 3.8933e-01 3.3049e-02 2.9132e-02 -1.0193e+01 7.1303e-01
114 3.5709e-02 3.1785e-02 2.4402e-01 5.8902e+00 3.8428e-01 -1.4660e-02 -9.3808e-02 -1.0249e+01 7.1861e-01
115 3.5368e-02 3.1386e-02 2.4417e-01 5.8841e+00 3.8648e-01 -3.2861e-02 7.8933e-03 -1.0311e+01 7.2426e-01
116 3.4494e-02 3.1223e-02 2.4413e-01 5.8691e+00 3.8711e-01 4.5516e-02 -5.1740e-02 -1.0305e+01 7.3005e-01
117 3.4633e-02 3.1041e-02 2.4514e-01 5.8584e+00 3.8635e-01 -1.8695e-02 -5.7845e-03 -1.0144e+01 7.3606e-01
118 3.4358e-02 3.0675e-02 2.4560e-01 5.8586e+00 3.8551e-01 4.0462e-02 7.5562e-02 -1.0242e+01 7.4270e-01
119 3.4096e-02 3.0972e-02 2.4645e-01 5.8640e+00 3.8495e-01 -3.3013e-02 -1.1481e-01 -1.0335e+01 7.4819e-01
120 3.3843e-02 3.0558e-02 2.4599e-01 5.8939e+00 3.8556e-01 -1.0147e-02 -1.0631e-02 -1.0237e+01 7.5376e-01
121 3.3134e-02 3.0212e-02 2.4694e-01 5.9165e+00 3.8862e-01 1.3856e-02 -8.3698e-02 -1.0171e+01 7.6030e-01
122 3.4084e-02 3.0366e-02 2.4630e-01 5.9209e+00 3.8692e-01 -1.8399e-02 -2.0923e-02 -1.0245e+01 7.6651e-01
123 3.4357e-02 3.0542e-02 2.4666e-01 5.9042e+00 3.9262e-01 6.6479e-03 7.5736e-02 -1.0193e+01 7.7271e-01
124 3.3580e-02 3.0416e-02 2.4723e-01 5.9130e+00 3.9064e-01 3.9653e-02 6.6792e-03 -1.0144e+01 7.7907e-01
125 3.3585e-02 3.0117e-02 2.4844e-01 5.9172e+00 3.9018e-01 -1.0909e-01 -2.1743e-02 -1.0301e+01 7.8474e-01
126 3.3133e-02 2.9660e-02 2.4766e-01 5.9330e+00 3.8514e-01 -3.0734e-02 -5.7347e-02 -1.0239e+01 7.9094e-01
127 3.3201e-02 2.9601e-02 2.4840e-01 5.9374e+00 3.8518e-01 7.1404e-03 -8.3359e-02 -1.0215e+01 7.9708e-01
128 3.3413e-02 2.9611e-02 2.4886e-01 5.9332e+00 3.9133e-01 1.6794e-02 -2.7345e-02 -1.0239e+01 8.0271e-01
129 3.3254e-02 2.9414e-02 2.4942e-01 5.9002e+00 3.9032e-01 5.3975e-02 -2.3317e-02 -1.0174e+01 8.0802e-01
130 3.3235e-02 2.9332e-02 2.5059e-01 5.9168e+00 3.9087e-01 -3.3554e-02 4.1267e-02 -1.0299e+01 8.1380e-01
131 3.3372e-02 2.9212e-02 2.5044e-01 5.9183e+00 3.8931e-01 -1.4552e-02 4.1729e-02 -1.0213e+01 8.1951e-01
132 3.2686e-02 2.8706e-02 2.5076e-01 5.9420e+00 3.8945e-01 4.3220e-02 3.5628e-02 -1.0238e+01 8.2632e-01
133 3.2568e-02 2.8798e-02 2.5141e-01 5.9440e+00 3.9042e-01 -5.6356e-02 7.4541e-03 -1.0226e+01 8.3235e-01
134 3.3151e-02 2.8749e-02 2.5151e-01 5.9338e+00 3.9223e-01 3.8026e-02 1.6848e-02 -1.0208e+01 8.3797e-01
135 3.2497e-02 2.8377e-02 2.5165e-01 5.9400e+00 3.9198e-01 -7.1149e-02 -6.1265e-02 -1.0098e+01 8.4386e-01
136 3.1971e-02 2.8327e-02 2.5201e-01 5.9572e+00 3.9099e-01 8.3064e-02 -3.2545e-03 -1.0081e+01 8.4919e-01
137 3.2142e-02 2.8068e-02 2.5307e-01 5.9650e+00 3.9560e-01 -5.4168e-02 -1.5991e-02 -1.0103e+01 8.5442e-01
138 3.2026e-02 2.7975e-02 2.5322e-01 5.9619e+00 3.9376e-01 7.7866e-02 6.1568e-02 -1.0188e+01 8.6028e-01
139 3.2132e-02 2.7967e-02 2.5438e-01 5.9572e+00 3.9477e-01 4.1315e-02 -3.6561e-02 -1.0262e+01 8.6604e-01
140 3.2587e-02 2.8136e-02 2.5492e-01 5.9841e+00 3.9653e-01 -7.0638e-02 -2.2700e-02 -1.0234e+01 8.7158e-01
141 3.2562e-02 2.7908e-02 2.5518e-01 5.9703e+00 3.9617e-01 -8.2137e-02 2.0597e-03 -1.0163e+01 8.7710e-01
142 3.1786e-02 2.7436e-02 2.5583e-01 5.9684e+00 3.9296e-01 -7.3777e-02 -1.7225e-02 -1.0075e+01 8.8354e-01
143 3.1704e-02 2.7328e-02 2.5595e-01 5.9647e+00 3.9216e-01 -2.4085e-02 -1.9658e-02 -1.0111e+01 8.8957e-01
144 3.1810e-02 2.7098e-02 2.5652e-01 5.9602e+00 3.8972e-01 -5.2728e-02 -2.4980e-02 -1.0269e+01 8.9554e-01
145 3.1605e-02 2.7062e-02 2.5686e-01 5.9553e+00 3.8883e-01 8.9201e-02 -9.7458e-03 -1.0213e+01 9.0158e-01
146 3.1347e-02 2.6777e-02 2.5743e-01 5.9558e+00 3.9177e-01 -2.2857e-02 -3.4275e-02 -1.0233e+01 9.0725e-01
147 3.1407e-02 2.6873e-02 2.5818e-01 5.9380e+00 3.9454e-01 -3.9939e-02 7.7932e-02 -1.0171e+01 9.1273e-01
148 3.1312e-02 2.7071e-02 2.5904e-01 5.9449e+00 3.9734e-01 -3.9458e-02 5.7783e-02 -1.0190e+01 9.1899e-01
149 3.1439e-02 2.6849e-02 2.5831e-01 5.9279e+00 3.9028e-01 -2.2242e-02 5.0927e-02 -1.0095e+01 9.2449e-01
150 3.1519e-02 2.6843e-02 2.5867e-01 5.9359e+00 3.9108e-01 -7.8800e-02 8.9529e-03 -1.0165e+01 9.3040e-01
151 3.1645e-02 2.6720e-02 2.5881e-01 5.9566e+00 3.9174e-01 -3.0934e-02 -1.9287e-02 -1.0217e+01 9.3582e-01
152 3.1605e-02 2.6614e-02 2.5954e-01 5.9746e+00 3.9565e-01 1.3620e-02 -8.6853e-03 -1.0072e+01 9.4207e-01
153 3.1220e-02 2.6422e-02 2.5976e-01 5.9675e+00 3.9641e-01 4.2556e-02 4.4110e-02 -1.0211e+01 9.4808e-01
154 3.1464e-02 2.6528e-02 2.6045e-01 5.9727e+00 3.9320e-01 1.9588e-02 2.9923e-02 -1.0011e+01 9.5343e-01
155 3.0851e-02 2.6376e-02 2.6079e-01 5.9578e+00 3.9197e-01 -2.5881e-02 1.5110e-02 -1.0207e+01 9.5874e-01
156 3.0785e-02 2.6241e-02 2.6129e-01 5.9581e+00 3.9519e-01 -7.7858e-02 4.4874e-02 -1.0220e+01 9.6458e-01
157 3.0581e-02 2.6197e-02 2.6090e-01 5.9550e+00 3.9264e-01 -5.6857e-02 -1.7792e-02 -1.0243e+01 9.7052e-01
158 3.0877e-02 2.6293e-02 2.6120e-01 5.9462e+00 3.9706e-01 -4.5910e-02 -1.6311e-02 -1.0363e+01 9.7652e-01
159 3.1455e-02 2.6433e-02 2.6186e-01 5.9156e+00 3.9662e-01 -2.7147e-02 -9.5287e-02 -1.0247e+01 9.8261e-01
160 3.1066e-02 2.6266e-02 2.6243e-01 5.9188e+00 3.9734e-01 1.6977e-02 9.6016e-02 -1.0030e+01 9.8875e-01
161 3.0751e-02 2.6383e-02 2.6172e-01 5.9132e+00 3.9507e-01 8.5077e-02 5.3635e-03 -1.0257e+01 9.9392e-01
162 3.0823e-02 2.6347e-02 2.6230e-01 5.8777e+00 3.9556e-01 5.7358e-02 1.7173e-02 -1.0161e+01 1.0001e+00
163 3.0861e-02 2.6261e-02 2.6265e-01 5.8618e+00 3.9515e-01 9.4077e-03 4.3936e-04 -1.0024e+01 1.0060e+00
164 3.0680e-02 2.6237e-02 2.6269e-01 5.8652e+00 3.9405e-01 -3.1245e-02 9.8969e-03 -1.0163e+01 1.0114e+00
165 3.0265e-02 2.6103e-02 2.6338e-01 5.8556e+00 3.9314e-01 4.6450e-02 -1.9611e-02 -1.0241e+01 1.0167e+00
166 3.0069e-02 2.6167e-02 2.6375e-01 5.8631e+00 3.9026e-01 3.0440e-02 2.1142e-03 -1.0130e+01 1.0226e+00
167 3.0322e-02 2.6165e-02 2.6476e-01 5.8626e+00 3.9330e-01 7.1487e-02 -1.7093e-02 -1.0246e+01 1.0285e+00
168 3.0257e-02 2.5899e-02 2.6468e-01 5.8712e+00 3.9216e-01 -3.1917e-02 -3.6955e-02 -1.0264e+01 1.0349e+00
169 2.9885e-02 2.5716e-02 2.6388e-01 5.8838e+00 3.9212e-01 -8.2163e-03 -2.4081e-02 -1.0132e+01 1.0406e+00
170 3.0073e-02 2.5680e-02 2.6398e-01 5.8726e+00 3.9377e-01 -1.4985e-02 4.9029e-02 -1.0160e+01 1.0469e+00
171 2.9776e-02 2.5424e-02 2.6406e-01 5.8718e+00 3.9211e-01 1.9713e-03 -2.0854e-02 -1.0269e+01 1.0521e+00
172 3.0068e-02 2.5522e-02 2.6516e-01 5.8609e+00 3.9208e-01 3.8725e-02 6.4778e-02 -1.0223e+01 1.0578e+00
173 2.9687e-02 2.5293e-02 2.6533e-01 5.8451e+00 3.9067e-01 -5.2656e-02 6.0279e-02 -1.0106e+01 1.0638e+00
174 2.9473e-02 2.5271e-02 2.6646e-01 5.8416e+00 3.9458e-01 -4.8949e-02 4.0372e-02 -1.0295e+01 1.0704e+00
175 2.9465e-02 2.5141e-02 2.6578e-01 5.8260e+00 3.9144e-01 -1.8888e-02 3.1443e-02 -1.0241e+01 1.0758e+00
176 2.9756e-02 2.5306e-02 2.6732e-01 5.8427e+00 3.9452e-01 1.1328e-02 -1.7022e-02 -1.0101e+01 1.0818e+00
177 2.9634e-02 2.5093e-02 2.6734e-01 5.8462e+00 3.9188e-01 -3.4298e-02 -4.9945e-02 -1.0064e+01 1.0876e+00
178 2.9228e-02 2.4750e-02 2.6828e-01 5.8823e+00 3.9533e-01 -5.9881e-02 3.8270e-02 -1.0078e+01 1.0933e+00
179 2.9520e-02 2.4621e-02 2.7019e-01 5.8728e+00 4.0062e-01 -2.0212e-02 1.8850e-02 -1.0075e+01 1.0985e+00
180 2.9478e-02 2.4585e-02 2.7125e-01 5.8556e+00 3.9821e-01 -2.8612e-03 1.1278e-01 -1.0102e+01 1.1049e+00
181 2.9455e-02 2.4345e-02 2.7146e-01 5.8552e+00 4.0004e-01 5.3426e-02 -6.0578e-03 -1.0215e+01 1.1107e+00
182 2.9056e-02 2.4090e-02 2.7314e-01 5.8628e+00 3.9602e-01 4.6082e-02 1.4469e-02 -1.0214e+01 1.1169e+00
