t test_mse train_mse W_norm a_norm y_norm_sq score_W_resc score_a_resc log_P time
68 1.1776e-04 1.0662e-04 3.0764e+00 8.4735e-01 4.1472e-01 6.8470e-02 -4.9690e-02 -9.7131e+00 5.3418e-01
69 1.1278e-04 1.0288e-04 3.0760e+00 8.4614e-01 4.1404e-01 3.1732e-02 2.1332e-02 -9.6704e+00 5.4089e-01
70 1.0848e-04 1.0036e-04 3.0760e+00 8.4711e-01 4.1575e-01 5.4594e-03 2.5752e-01 -9.5776e+00 5.4763e-01
71 1.0911e-04 9.8878e-05 3.0767e+00 8.4671e-01 4.1545e-01 -3.9367e-04 -7.1419e-01 -9.7163e+00 5.5464e-01
72 1.0913e-04 9.9181e-05 3.0766e+00 8.4908e-01 4.1673e-01 -9.1365e-03 -8.1491e-02 -9.6545e+00 5.6168e-01
73 1.1314e-04 1.0135e-04 3.0774e+00 8.4743e-01 4.1596e-01 -5.4101e-02 2.6474e-01 -9.7371e+00 5.6873e-01
74 1.0943e-04 1.0024e-04 3.0768e+00 8.4781e-01 4.1607e-01 4.9533e-02 3.2436e-01 -9.7312e+00 5.7590e-01
75 1.2091e-04 1.1251e-04 3.0779e+00 8.4657e-01 4.1578e-01 1.0766e-02 -2.5346e-01 -9.7121e+00 5.8286e-01
76 1.1727e-04 1.0834e-04 3.0767e+00 8.4795e-01 4.1530e-01 2.2397e-02 -3.3890e-01 -9.6593e+00 5.8966e-01
77 1.1754e-04 1.1027e-04 3.0773e+00 8.4624e-01 4.1624e-01 3.5105e-02 2.9960e-01 -9.6371e+00 5.9648e-01
78 1.1804e-04 1.1034e-04 3.0769e+00 8.4666e-01 4.1534e-01 -1.3330e-02 -5.0025e-01 -9.7777e+00 6.0419e-01
79 1.1773e-04 1.0953e-04 3.0780e+00 8.4584e-01 4.1525e-01 1.3228e-02 -4.7993e-01 -9.8195e+00 6.1098e-01
80 1.1832e-04 1.0818e-04 3.0787e+00 8.4642e-01 4.1572e-01 -1.1234e-03 -3.6459e-01 -9.6767e+00 6.1805e-01
81 1.1364e-04 1.0330e-04 3.0786e+00 8.4782e-01 4.1687e-01 -2.5393e-02 1.6479e-01 -9.7003e+00 6.2498e-01
82 1.0931e-04 9.8923e-05 3.0791e+00 8.4674e-01 4.1625e-01 3.5639e-02 2.5925e-01 -9.8266e+00 6.3220e-01
83 1.1303e-04 1.0265e-04 3.0788e+00 8.4640e-01 4.1632e-01 1.1847e-01 3.3689e-01 -9.6792e+00 6.3897e-01
84 1.2292e-04 1.0986e-04 3.0793e+00 8.4482e-01 4.1636e-01 -4.7994e-03 7.4806e-02 -9.6667e+00 6.4589e-01
85 1.2829e-04 1.1473e-04 3.0803e+00 8.4543e-01 4.1654e-01 4.0671e-03 8.8134e-01 -9.7561e+00 6.5278e-01
86 1.2583e-04 1.0915e-04 3.0803e+00 8.4433e-01 4.1493e-01 -9.0832e-02 -6.8306e-02 -9.6564e+00 6.5933e-01
87 1.1729e-04 1.0246e-04 3.0803e+00 8.4503e-01 4.1527e-01 -6.7642e-02 3.2685e-01 -9.6857e+00 6.6630e-01
88 1.1901e-04 1.0219e-04 3.0802e+00 8.4550e-01 4.1504e-01 -2.0921e-02 -4.6063e-01 -9.5885e+00 6.7291e-01
89 1.2128e-04 1.0434e-04 3.0799e+00 8.4585e-01 4.1652e-01 -7.2792e-02 -1.6812e-01 -9.6937e+00 6.7971e-01
90 1.2591e-04 1.0749e-04 3.0795e+00 8.4484e-01 4.1599e-01 2.6335e-02 2.3049e-01 -9.7042e+00 6.8669e-01
91 1.3030e-04 1.1083e-04 3.0798e+00 8.4481e-01 4.1648e-01 -3.0898e-02 -1.5535e-01 -9.7223e+00 6.9425e-01
92 1.3294e-04 1.1700e-04 3.0807e+00 8.4543e-01 4.1585e-01 -2.4595e-02 1.1913e-01 -9.7242e+00 7.0131e-01
93 1.3166e-04 1.1158e-04 3.0801e+00 8.4490e-01 4.1538e-01 1.8124e-02 -3.1967e-01 -9.6510e+00 7.0841e-01
94 1.3317e-04 1.1427e-04 3.0798e+00 8.4595e-01 4.1521e-01 -4.7494e-03 -4.6190e-01 -9.6944e+00 7.1594e-01
95 1.2855e-04 1.1074e-04 3.0807e+00 8.4784e-01 4.1692e-01 -9.0891e-02 1.5402e-01 -9.7960e+00 7.2302e-01
96 1.2830e-04 1.1231e-04 3.0820e+00 8.4629e-01 4.1665e-01 4.7610e-02 2.1507e-01 -9.6727e+00 7.3051e-01
97 1.2661e-04 1.1351e-04 3.0820e+00 8.4642e-01 4.1655e-01 -6.5295e-02 -3.6254e-02 -9.6529e+00 7.3756e-01
98 1.2617e-04 1.0952e-04 3.0812e+00 8.4603e-01 4.1560e-01 -2.1148e-02 -6.1592e-01 -9.6579e+00 7.4447e-01
99 1.2315e-04 1.1206e-04 3.0807e+00 8.4664e-01 4.1760e-01 2.4289e-02 6.1743e-02 -9.6822e+00 7.5126e-01
100 1.2503e-04 1.1362e-04 3.0817e+00 8.4645e-01 4.1782e-01 1.8368e-02 1.0344e+00 -9.6342e+00 7.5902e-01
101 1.2868e-04 1.1198e-04 3.0815e+00 8.4603e-01 4.1644e-01 2.7376e-02 2.8669e-01 -9.6966e+00 7.6614e-01
102 1.3029e-04 1.1268e-04 3.0822e+00 8.4469e-01 4.1474e-01 3.8608e-02 -5.4169e-01 -9.7219e+00 7.7303e-01
103 1.2798e-04 1.1150e-04 3.0835e+00 8.4622e-01 4.1713e-01 5.4568e-02 9.6069e-01 -9.5679e+00 7.7979e-01
104 1.3035e-04 1.1340e-04 3.0841e+00 8.4427e-01 4.1549e-01 4.1932e-02 -4.4063e-01 -9.7273e+00 7.8678e-01
105 1.2936e-04 1.1257e-04 3.0839e+00 8.4518e-01 4.1695e-01 9.7460e-05 1.6986e-01 -9.8293e+00 7.9371e-01
106 1.3397e-04 1.1613e-04 3.0835e+00 8.4570e-01 4.1773e-01 -6.8542e-02 2.3503e-01 -9.5535e+00 8.0008e-01
107 1.4154e-04 1.2247e-04 3.0839e+00 8.4526e-01 4.1741e-01 -4.0129e-02 3.1479e-01 -9.7109e+00 8.0696e-01
108 1.4657e-04 1.2640e-04 3.0837e+00 8.4271e-01 4.1474e-01 -1.2187e-01 2.8552e-01 -9.8139e+00 8.1443e-01
109 1.4654e-04 1.2373e-04 3.0842e+00 8.4402e-01 4.1535e-01 -1.2510e-02 -4.4003e-01 -9.7216e+00 8.2129e-01
110 1.4308e-04 1.2032e-04 3.0826e+00 8.4446e-01 4.1538e-01 -2.2466e-02 4.6048e-01 -9.8198e+00 8.2835e-01
111 1.4531e-04 1.2285e-04 3.0827e+00 8.4646e-01 4.1484e-01 -7.9160e-02 -4.6933e-01 -9.6887e+00 8.3511e-01
112 1.4198e-04 1.1702e-04 3.0819e+00 8.4653e-01 4.1558e-01 -6.8403e-02 -5.1739e-01 -9.7257e+00 8.4159e-01
113 1.5043e-04 1.2789e-04 3.0819e+00 8.4648e-01 4.1665e-01 -8.7211e-03 1.0803e-01 -9.7467e+00 8.4831e-01
114 1.4442e-04 1.2014e-04 3.0819e+00 8.4519e-01 4.1577e-01 -3.0195e-02 2.8077e-01 -9.7421e+00 8.5540e-01
115 1.4253e-04 1.2606e-04 3.0823e+00 8.4623e-01 4.1675e-01 2.4604e-02 3.6645e-01 -9.7716e+00 8.6236e-01
116 1.3959e-04 1.2318e-04 3.0820e+00 8.4484e-01 4.1553e-01 8.2305e-02 1.7073e-01 -9.8596e+00 8.6887e-01
117 1.4022e-04 1.2187e-04 3.0807e+00 8.4442e-01 4.1517e-01 -3.6442e-02 -3.0522e-01 -9.6775e+00 8.7610e-01
118 1.4767e-04 1.2488e-04 3.0820e+00 8.4322e-01 4.1535e-01 -6.5023e-02 -2.0582e-01 -9.6662e+00 8.8273e-01
119 1.4140e-04 1.1987e-04 3.0822e+00 8.4459e-01 4.1521e-01 6.2302e-02 -2.6020e-01 -9.7226e+00 8.8934e-01
120 1.4916e-04 1.2678e-04 3.0827e+00 8.4461e-01 4.1540e-01 -1.3246e-02 3.1765e-01 -9.6555e+00 8.9592e-01
121 1.3934e-04 1.1956e-04 3.0825e+00 8.4586e-01 4.1619e-01 -2.0865e-02 6.7109e-01 -9.6673e+00 9.0338e-01
122 1.4644e-04 1.2423e-04 3.0830e+00 8.4569e-01 4.1492e-01 -8.7043e-03 -5.0614e-01 -9.7764e+00 9.1126e-01
123 1.4080e-04 1.1667e-04 3.0823e+00 8.4557e-01 4.1481e-01 -3.7887e-04 -2.1097e-01 -9.7883e+00 9.1798e-01
124 1.4884e-04 1.2151e-04 3.0823e+00 8.4439e-01 4.1555e-01 -3.0645e-02 -7.4225e-02 -9.7137e+00 9.2531e-01
125 1.3615e-04 1.1214e-04 3.0830e+00 8.4595e-01 4.1533e-01 -5.2768e-02 -3.8067e-01 -9.8058e+00 9.3196e-01
126 1.3842e-04 1.1297e-04 3.0832e+00 8.4531e-01 4.1598e-01 5.7862e-02 -3.9550e-01 -9.7419e+00 9.3925e-01
127 1.3760e-04 1.1037e-04 3.0833e+00 8.4497e-01 4.1578e-01 3.3072e-02 4.4666e-01 -9.7756e+00 9.4616e-01
128 1.4805e-04 1.2001e-04 3.0828e+00 8.4426e-01 4.1526e-01 -4.0508e-02 4.7581e-01 -9.7258e+00 9.5370e-01
129 1.4870e-04 1.2025e-04 3.0827e+00 8.4657e-01 4.1611e-01 2.5226e-02 1.6856e-01 -9.7083e+00 9.6073e-01
130 1.4479e-04 1.1629e-04 3.0835e+00 8.4741e-01 4.1535e-01 2.2136e-02 -4.3850e-01 -9.7762e+00 9.6816e-01
131 1.4594e-04 1.1711e-04 3.0831e+00 8.4575e-01 4.1649e-01 1.3570e-02 -3.0177e-01 -9.8228e+00 9.7509e-01
132 1.4748e-04 1.1796e-04 3.0820e+00 8.4631e-01 4.1663e-01 8.2155e-02 5.0355e-01 -9.6890e+00 9.8262e-01
133 1.4300e-04 1.1675e-04 3.0828e+00 8.4532e-01 4.1663e-01 -3.5685e-02 3.6948e-01 -9.6792e+00 9.8967e-01
134 1.4240e-04 1.1692e-04 3.0828e+00 8.4609e-01 4.1611e-01 9.7259e-02 -4.0719e-02 -9.7664e+00 9.9691e-01
135 1.4527e-04 1.1658e-04 3.0825e+00 8.4538e-01 4.1580e-01 -1.2623e-03 3.6882e-01 -9.6589e+00 1.0038e+00
136 1.4533e-04 1.2227e-04 3.0819e+00 8.4698e-01 4.1618e-01 -2.3409e-02 -6.1017e-01 -9.5047e+00 1.0105e+00
137 1.5121e-04 1.2415e-04 3.0821e+00 8.4693e-01 4.1625e-01 1.9067e-02 1.1927e-01 -9.7109e+00 1.0173e+00
138 1.4458e-04 1.2177e-04 3.0829e+00 8.4698e-01 4.1705e-01 -4.9138e-02 3.7224e-01 -9.6980e+00 1.0238e+00
139 1.4787e-04 1.2238e-04 3.0827e+00 8.4559e-01 4.1624e-01 -4.1632e-02 1.0506e-01 -9.6501e+00 1.0304e+00
140 1.4571e-04 1.1883e-04 3.0834e+00 8.4578e-01 4.1659e-01 -4.0467e-03 -5.6810e-01 -9.6550e+00 1.0369e+00
141 1.4393e-04 1.2361e-04 3.0832e+00 8.4634e-01 4.1784e-01 -9.1710e-03 1.0609e+00 -9.6878e+00 1.0436e+00
142 1.3821e-04 1.1915e-04 3.0832e+00 8.4551e-01 4.1712e-01 -4.9063e-02 4.3498e-01 -9.6591e+00 1.0509e+00
143 1.2977e-04 1.1099e-04 3.0837e+00 8.4607e-01 4.1736e-01 7.6819e-02 3.1667e-01 -9.6288e+00 1.0587e+00
144 1.2874e-04 1.0910e-04 3.0844e+00 8.4513e-01 4.1674e-01 3.9087e-02 5.8638e-01 -9.7220e+00 1.0656e+00
145 1.4411e-04 1.1981e-04 3.0839e+00 8.4254e-01 4.1418e-01 3.8558e-02 -2.0571e-01 -9.7300e+00 1.0727e+00
146 1.3901e-04 1.1187e-04 3.0842e+00 8.4392e-01 4.1553e-01 8.2992e-03 -8.5099e-01 -9.7418e+00 1.0796e+00
147 1.3814e-04 1.1605e-04 3.0841e+00 8.4442e-01 4.1563e-01 4.1464e-02 2.9191e-01 -9.7651e+00 1.0862e+00
148 1.3534e-04 1.1496e-04 3.0847e+00 8.4531e-01 4.1558e-01 1.3629e-03 2.8731e-01 -9.6772e+00 1.0929e+00
149 1.3236e-04 1.1106e-04 3.0845e+00 8.4525e-01 4.1610e-01 -2.2657e-02 5.1362e-01 -9.6703e+00 1.0996e+00
150 1.2942e-04 1.1529e-04 3.0843e+00 8.4572e-01 4.1649e-01 -4.4678e-02 8.4489e-01 -9.8146e+00 1.1070e+00
151 1.4098e-04 1.1754e-04 3.0843e+00 8.4411e-01 4.1458e-01 -2.0362e-02 -6.8069e-01 -9.8888e+00 1.1138e+00
152 1.4895e-04 1.2350e-04 3.0840e+00 8.4124e-01 4.1342e-01 -2.0781e-03 -4.2418e-01 -9.6944e+00 1.1210e+00
153 1.4141e-04 1.1698e-04 3.0847e+00 8.4381e-01 4.1575e-01 8.9676e-02 3.3444e-02 -9.8319e+00 1.1279e+00
154 1.4146e-04 1.1420e-04 3.0845e+00 8.4401e-01 4.1530e-01 1.2835e-01 -6.8369e-02 -9.6690e+00 1.1350e+00
155 1.4608e-04 1.1842e-04 3.0843e+00 8.4258e-01 4.1538e-01 2.6116e-02 4.2717e-01 -9.7570e+00 1.1416e+00
156 1.5110e-04 1.2867e-04 3.0844e+00 8.4409e-01 4.1588e-01 -3.6515e-02 4.9227e-01 -9.7220e+00 1.1501e+00
157 1.4813e-04 1.2598e-04 3.0846e+00 8.4327e-01 4.1540e-01 7.7094e-03 -1.9421e-01 -9.7095e+00 1.1571e+00
158 1.4184e-04 1.2163e-04 3.0847e+00 8.4435e-01 4.1533e-01 -2.3498e-02 -7.9963e-02 -9.8717e+00 1.1639e+00
159 1.4388e-04 1.2009e-04 3.0841e+00 8.4357e-01 4.1630e-01 3.3533e-03 5.0577e-01 -9.7015e+00 1.1707e+00
160 1.4292e-04 1.2013e-04 3.0852e+00 8.4250e-01 4.1571e-01 -4.5185e-02 1.9033e-01 -9.5614e+00 1.1782e+00
161 1.4812e-04 1.2400e-04 3.0858e+00 8.4326e-01 4.1466e-01 -1.8832e-02 -2.4786e-01 -9.8392e+00 1.1848e+00
162 1.4044e-04 1.1849e-04 3.0854e+00 8.4513e-01 4.1638e-01 -1.1843e-01 -2.0477e-01 -9.7734e+00 1.1921e+00
163 1.3995e-04 1.1861e-04 3.0847e+00 8.4406e-01 4.1525e-01 -2.1682e-02 -3.2297e-01 -9.6657e+00 1.1993e+00
164 1.4613e-04 1.2312e-04 3.0853e+00 8.4392e-01 4.1634e-01 -4.6028e-03 2.3542e-02 -9.6285e+00 1.2060e+00
165 1.4468e-04 1.2141e-04 3.0849e+00 8.4404e-01 4.1634e-01 -1.9187e-02 -5.4353e-01 -9.8439e+00 1.2130e+00
166 1.4333e-04 1.2232e-04 3.0855e+00 8.4544e-01 4.1795e-01 -1.3349e-02 -1.8169e-02 -9.7528e+00 1.2207e+00
167 1.4154e-04 1.2175e-04 3.0855e+00 8.4468e-01 4.1776e-01 -4.9844e-02 4.0893e-01 -9.7935e+00 1.2274e+00
168 1.4573e-04 1.2597e-04 3.0858e+00 8.4175e-01 4.1605e-01 -4.4735e-03 7.2625e-01 -9.8369e+00 1.2357e+00
169 1.4324e-04 1.2321e-04 3.0845e+00 8.4375e-01 4.1610e-01 2.1847e-02 1.3963e-01 -9.6368e+00 1.2427e+00
170 1.5822e-04 1.3676e-04 3.0847e+00 8.4233e-01 4.1485e-01 5.8675e-02 9.2151e-02 -9.7436e+00 1.2500e+00
171 1.5733e-04 1.3386e-04 3.0837e+00 8.4238e-01 4.1522e-01 4.5494e-03 -2.3024e-01 -9.8360e+00 1.2568e+00
172 1.6276e-04 1.4271e-04 3.0847e+00 8.4301e-01 4.1577e-01 3.9375e-02 3.5295e-01 -9.7168e+00 1.2640e+00
173 1.6155e-04 1.3984e-04 3.0840e+00 8.4216e-01 4.1523e-01 1.5659e-02 -1.4936e-02 -9.7293e+00 1.2712e+00
174 1.6244e-04 1.4062e-04 3.0847e+00 8.4151e-01 4.1530e-01 7.9309e-03 4.0878e-01 -9.7409e+00 1.2787e+00
175 1.6838e-04 1.4362e-04 3.0845e+00 8.4229e-01 4.1462e-01 -7.5339e-02 1.7311e-01 -9.7715e+00 1.2853e+00
176 1.6053e-04 1.3840e-04 3.0845e+00 8.4457e-01 4.1459e-01 -9.7639e-03 -3.0731e-01 -9.7577e+00 1.2922e+00
177 1.6393e-04 1.4252e-04 3.0839e+00 8.4514e-01 4.1505e-01 -1.1175e-02 3.3620e-02 -9.6579e+00 1.2994e+00
178 1.6116e-04 1.3829e-04 3.0835e+00 8.4488e-01 4.1457e-01 -1.4354e-02 -7.8803e-01 -9.7002e+00 1.3061e+00
179 1.6135e-04 1.4201e-04 3.0840e+00 8.4392e-01 4.1463e-01 5.2023e-02 -6.2639e-01 -9.7253e+00 1.3128e+00
180 1.6370e-04 1.4305e-04 3.0843e+00 8.4339e-01 4.1424e-01 -2.7444e-02 -1.0636e+00 -9.7500e+00 1.3204e+00
181 1.6313e-04 1.4079e-04 3.0841e+00 8.4423e-01 4.1600e-01 -1.2530e-02 2.5938e-01 -9.5998e+00 1.3274e+00
182 1.5364e-04 1.3168e-04 3.0846e+00 8.4441e-01 4.1584e-01 6.6670e-02 3.9799e-01 -9.8591e+00 1.3350e+00
